City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
123,mecca,0,SA,1552581555,48,21.43,39.83,82,8.3
124,anloga,20,GH,1552579200,70,5.79,0.9,89.6,14.99
125,praxedis guerrero,20,MX,1552581165,28,31.37,-106.02,52,13.87
126,maceio,75,BR,1552579200,59,-9.67,-35.74,89.6,12.75
127,kanniyakumari,8,IN,1552581921,94,8.08,77.57,85.51,12.44
128,torbay,40,CA,1552581902,51,47.66,-52.73,39.99,5.82
129,sao joao da barra,20,BR,1552579200,47,-21.64,-41.05,95,6.93
130,puerto ayora,0,EC,1552581092,74,-0.74,-90.35,80.6,10.29
131,amapa,20,HN,1552581914,52,15.09,-87.97,91,3.36
132,ordzhonikidze,56,UA,1552581923,100,44.96,35.36,40.69,8.97
133,elizabeth city,1,US,1552581891,59,36.3,-76.22,70,12.55
134,arraial do cabo,40,BR,1552579200,74,-22.97,-42.02,91.4,13.87
135,okhotsk,48,RU,1552581923,100,59.36,143.24,6.45,3.04
136,provideniya,56,RU,1552581924,96,64.42,-173.23,25.8,28.1
137,arica,75,CL,1552579200,64,-18.48,-70.32,75.2,10.29
138,palmer,0,AU,1552581923,72,-34.85,139.16,61,9.17
139,los llanos de aridane,75,ES,1552581901,72,28.66,-17.92,66.2,5.82
140,ust-koksa,0,RU,1552581925,59,50.27,85.62,8.7,1.92
141,carnarvon,92,ZA,1552581925,38,-30.97,22.13,73.77,3.83
142,mazagao,75,BR,1552579200,66,-0.12,-51.29,87.8,9.17
143,prince rupert,75,CA,1552579200,93,54.32,-130.32,37.4,9.17
144,worthington,90,US,1552581905,100,43.62,-95.6,34,26.4
145,harare,64,ZW,1552581864,61,-17.83,31.05,70.57,12.44
146,tuktoyaktuk,90,CA,1552579200,75,69.44,-133.03,-16.61,16.11
147,cidreira,0,BR,1552581927,75,-30.17,-50.22,78.85,13.22
148,san ramon,40,NI,1552581775,68,12.92,-85.84,73,3.6
149,saint-philippe,75,CA,1552581754,92,45.36,-73.48,46.4,6.93
150,penzance,90,GB,1552581916,100,50.12,-5.53,52,23.04
151,bethel,90,US,1552581420,92,60.79,-161.76,28.4,3.36
152,esperance,40,TT,1552581123,55,10.24,-61.45,87.01,16.11
153,west plains,1,US,1552581941,47,36.73,-91.85,60.01,21.92
154,mbala,88,ZM,1552581989,79,-8.85,31.37,68.77,1.25
155,anadyr,40,RU,1552579200,83,64.73,177.51,-7.61,2.24
156,keuruu,90,FI,1552581769,89,62.26,24.71,34,14.99
157,rabat,0,MA,1552581039,59,34.02,-6.83,68,11.41
158,aksarka,0,RU,1552581934,62,66.56,67.8,4.06,10.98
159,yulara,24,AU,1552579200,37,-25.24,130.99,82.4,6.93
160,chokurdakh,56,RU,1552581991,29,70.62,147.9,-20.47,2.93
161,nishihara,0,JP,1552581905,42,35.74,139.53,48,8.05
162,sangar,0,RU,1552581991,58,63.92,127.47,-2.33,4.38
163,vostok,88,RU,1552581992,96,46.45,135.83,24.04,2.26
164,soyo,80,AO,1552581770,72,-6.13,12.37,85.06,6.85
165,saint-francois,92,FR,1552581987,87,46.42,3.91,48.2,14.99
166,clyde river,75,CA,1552579200,70,70.47,-68.59,-5.81,3.36
167,paso de los toros,80,UY,1552581993,77,-32.81,-56.52,75.3,13.56
168,kanlagay,8,PH,1552581993,100,5.88,121.29,79.12,6.73
169,hofn,75,IS,1552579200,69,64.25,-15.21,35.6,14.99
170,acapulco,5,MX,1552578120,42,16.86,-99.88,86,4.94
171,kloulklubed,75,PW,1552578600,83,7.04,134.26,77,12.77
172,goure,0,NE,1552581994,15,13.98,10.27,90.19,9.53
173,tasiilaq,75,GL,1552578600,85,65.61,-37.64,23,4.7
174,pativilca,0,PE,1552581995,96,-10.7,-77.78,74.62,4.61
175,hami,0,CN,1552581995,48,42.84,93.51,32.77,4.94
176,saint george,75,GR,1552581209,71,39.45,22.34,52,11.41
177,sept-iles,75,CA,1552581967,69,50.2,-66.38,39.99,3.36
178,ahipara,80,NZ,1552580539,100,-35.17,173.16,62.01,5.39
179,santa cruz,5,US,1552581708,75,36.97,-122.03,55,3.04
180,kavieng,88,PG,1552581997,100,-2.57,150.8,76.65,8.52
181,saint-paul,90,FR,1552581971,87,45.22,1.9,48,12.75
182,kozelsk,68,RU,1552581000,69,54.04,35.77,33.8,11.18
183,novopokrovka,44,RU,1552581998,74,45.85,134.51,16.57,2.59
184,sobolevo,80,RU,1552581998,93,54.43,31.9,34.39,17.69
185,ponta delgada,20,PT,1552581993,63,37.73,-25.67,60.8,12.75
186,kulhudhuffushi,0,MV,1552581999,100,6.62,73.07,83.04,3.27
187,kirakira,12,SB,1552582000,98,-10.46,161.92,84.3,4.94
188,pangai,92,TO,1552582000,97,-19.8,-174.35,81.69,20.15
189,leningradskiy,32,RU,1552582000,47,69.38,178.42,-15.88,6.17
190,teya,40,MX,1552581995,48,21.05,-89.07,90,21.92
191,dingle,0,PH,1552581797,85,11,122.67,74.35,11.43
192,ortigueira,75,ES,1552581981,62,43.68,-7.85,57,4.7
193,balikpapan,20,ID,1552579200,94,-1.24,116.86,78.8,4.7
194,praia,75,BR,1552579200,45,-20.25,-43.81,87.8,10.29
195,beringovskiy,80,RU,1552581770,87,63.05,179.32,7.8,26.87
196,bambous virieux,40,MU,1552581545,74,-20.34,57.76,80.6,3.36
197,launceston,0,AU,1552581988,93,-41.43,147.14,48.99,4.7
198,albina,92,GF,1552582003,77,5.5,-54.06,81.19,3.94
199,sao gabriel da cachoeira,20,BR,1552579200,62,-0.13,-67.09,89.6,1.12
200,poronaysk,80,RU,1552582003,82,49.22,143.1,16.98,2.48
201,hay river,20,CA,1552579200,78,60.82,-115.79,14,9.17
202,dudinka,44,RU,1552582004,82,69.41,86.18,5.32,12.21
203,cimahi,32,ID,1552582004,93,-6.87,107.54,71.56,2.82
204,kendal,40,ID,1552577400,78,-6.92,110.2,80.6,3.36
205,muros,40,ES,1552582054,71,42.77,-9.06,59,9.17
206,le port,0,FR,1552581914,14,42.87,1.37,62.6,12.75
207,kemi,90,FI,1552580400,92,65.74,24.56,28.4,9.17
208,callaway,90,US,1552581951,95,46.98,-95.91,35.6,24.16
209,ankang,76,CN,1552582067,82,32.73,108.99,35.52,1.7
210,fort nelson,40,CA,1552579200,72,58.81,-122.69,17.6,2.24
211,margate,75,AU,1552582041,71,-43.03,147.26,55.99,8.05
212,vagay,92,RU,1552582068,97,57.94,69.02,33,8.63
213,dunedin,12,NZ,1552581704,91,-45.87,170.5,55,7
214,abu kamal,20,SY,1552582069,63,34.45,40.92,53.2,12.55
215,yerbogachen,92,RU,1552581901,87,61.28,108.01,27.78,6.96
216,tuatapere,0,NZ,1552581606,92,-46.13,167.69,43,1.01
217,lobito,64,AO,1552582070,71,-12.35,13.55,78.76,1.81
218,tau,75,NO,1552582021,87,59.06,5.93,43,13.87
219,port hawkesbury,1,CA,1552582003,32,45.62,-61.36,46.99,11.41
220,verkhnyaya inta,0,RU,1552582070,76,65.99,60.32,9.24,3.83
221,viedma,92,AR,1552581922,96,-40.81,-62.99,62.56,17.13
222,peniche,0,PT,1552581957,55,39.36,-9.38,70,11.41
223,tiksi,8,RU,1552581780,54,71.64,128.87,-18.94,2.71
224,kotido,0,UG,1552582071,40,3.01,34.12,77.77,12.44
225,ikot ekpene,44,NG,1552582072,99,5.18,7.71,75.52,2.48
226,estevan,1,CA,1552581300,100,49.14,-102.99,24.8,21.92
227,nemuro,0,JP,1552582072,100,43.32,145.57,29.94,17.02
228,comodoro rivadavia,75,AR,1552579200,87,-45.87,-67.48,59,11.41
229,deputatskiy,36,RU,1552581918,26,69.3,139.9,-19.3,2.71
230,basco,90,US,1552582058,70,40.33,-91.2,57.2,29.97
231,rota,0,ES,1552581916,35,36.62,-6.36,73.4,2.24
232,carutapera,12,BR,1552582074,88,-1.2,-46.02,83.4,3.15
233,agirish,36,RU,1552582074,68,61.92,63.02,20.13,8.41
234,ixtapa,20,MX,1552581613,73,20.71,-105.21,75.2,2.24
235,alice springs,12,AU,1552579200,17,-23.7,133.88,84.2,5.82
236,beloha,0,MG,1552582075,64,-25.17,45.06,74.94,15.35
237,san cristobal,40,EC,1552581914,60,-0.39,-78.55,68,4.7
238,tual,76,ID,1552582076,100,-5.67,132.75,79.53,19.6
239,sterlibashevo,36,RU,1552582076,88,53.44,55.26,25.3,12.33
240,iracoubo,92,GF,1552582076,83,5.48,-53.21,80.34,4.72
241,nadym,0,RU,1552582077,63,65.53,72.51,3.75,9.19
242,jiuquan,0,CN,1552582077,58,39.73,98.49,13.47,2.71
243,tuensang,48,IN,1552582077,92,26.24,94.81,56.35,1.92
244,rawson,92,AR,1552582078,99,-43.3,-65.11,56.94,23.85
245,chifeng,12,CN,1552582078,44,42.27,118.96,21.84,9.19
246,kungurtug,0,RU,1552582078,63,50.6,97.53,6.72,2.93
